trade_date,instrument,name,industry,score,score_rank_pct,label_value,amount_log,rps_60d,ret_60d,ret_120d,price_percentile_252d,pe_rank_252d,pb_rank_252d,trend_smoothness_60d,industry_ret_20d,industry_ret_60d,industry_ret_120d,industry_breadth_20d,industry_breadth_60d,industry_volume_expansion,stock_minus_industry_ret_20d,stock_minus_industry_ret_60d,industry_top_stock_momentum,type
2022-10-20,600066.SH,宇通客车,汽车整车,1.9829,0.8333,1.1697,18.0250,0.3333,-0.1327,-0.0624,0.0218,0.0218,0.0694,-0.1596,-0.0039,-0.0035,0.0011,0.4000,0.4296,0.7108,-0.0107,0.0683,0.0402,missed
2024-01-02,600066.SH,宇通客车,汽车整车,-0.5287,0.1651,1.0799,19.1876,0.6831,-0.0015,-0.1039,0.7052,0.7052,0.5777,-0.0020,-0.0040,-0.0009,-0.0004,0.3333,0.4037,0.9352,0.0865,0.0564,0.1316,high_score
2020-12-31,600089.SH,特变电工,电气设备,-0.8571,0.0964,1.3988,21.1996,0.7061,0.1560,0.3716,0.9921,0.9921,0.9921,0.1346,0.0076,0.0043,0.0029,0.5513,0.5133,1.1048,0.0210,-0.1360,0.1113,high_score
2021-01-19,600089.SH,特变电工,电气设备,-0.6219,0.3333,1.2774,21.2344,0.7906,0.2552,0.3256,0.9921,0.9921,0.9921,0.1821,0.0020,0.0035,0.0030,0.4977,0.5068,1.5647,0.1036,0.0258,0.1207,high_score
2025-05-19,600089.SH,特变电工,电气设备,-0.6466,0.0943,1.3566,19.3084,0.4542,-0.0324,-0.1436,0.1230,0.9921,0.1032,-0.0617,0.0023,-0.0009,-0.0007,0.5160,0.4855,0.7665,-0.0276,0.0394,0.0489,high_score
2025-06-26,600089.SH,特变电工,电气设备,-0.4864,0.2812,1.5320,19.2608,0.4078,-0.0586,-0.0713,0.1746,0.9603,0.1508,-0.1311,0.0020,-0.0011,-0.0007,0.5415,0.4840,0.9934,-0.0323,0.0166,0.0177,high_score
2025-01-10,600095.SH,湘财股份,证券,-0.3791,0.2432,1.0138,18.6993,0.2035,-0.0932,0.0689,0.3056,0.4098,0.3135,-0.0788,-0.0086,-0.0004,0.0022,0.3455,0.4629,0.7133,-0.0153,-0.0512,0.1233,high_score
2020-12-31,600096.SH,云天化,农药化肥,-0.7122,0.1446,3.3163,19.3659,0.7846,0.2238,0.1741,0.9802,0.7004,0.9821,0.2076,0.0011,0.0044,0.0032,0.5033,0.5300,1.1945,0.0473,-0.0476,0.0926,high_score
2021-01-29,600096.SH,云天化,农药化肥,-0.3017,0.2247,3.2695,19.3482,0.8736,0.3236,0.1954,0.9881,0.9881,0.9802,0.2358,0.0047,0.0035,0.0020,0.5583,0.5294,1.2075,0.0279,0.1090,0.1397,high_score
2021-02-02,600096.SH,云天化,农药化肥,-0.3524,0.2683,2.9854,19.3834,0.8423,0.2914,0.2582,0.9841,0.9841,0.9841,0.2078,0.0067,0.0036,0.0025,0.5667,0.5244,1.3015,-0.0317,0.0649,0.1423,high_score
2021-03-26,600096.SH,云天化,农药化肥,-0.7200,0.2353,1.9445,18.9625,0.8014,0.1532,0.3484,0.8651,0.8651,0.8611,0.0755,-0.0029,0.0028,0.0030,0.5000,0.5417,1.6653,-0.1263,0.0057,0.1505,high_score
2021-04-29,600096.SH,云天化,农药化肥,0.6916,0.5851,1.4197,18.9417,0.7073,0.0541,0.4729,0.8373,0.4484,0.7857,0.0286,0.0017,0.0013,0.0029,0.5333,0.5222,0.7392,0.0065,0.0019,0.1253,missed
2021-05-17,600096.SH,云天化,农药化肥,0.2202,0.3594,1.0824,19.5382,0.8557,0.2120,0.5302,0.9643,0.7937,0.8968,0.1168,0.0071,0.0029,0.0029,0.6050,0.5461,0.9823,-0.0483,0.0091,0.1310,high_score
2021-06-04,600096.SH,云天化,农药化肥,-0.0198,0.3043,1.2191,20.1708,0.9035,0.3502,0.8102,0.9881,0.8056,0.9881,0.2234,0.0089,0.0055,0.0039,0.5883,0.5794,2.0146,0.0726,-0.0509,0.1600,high_score
2021-07-08,600096.SH,云天化,农药化肥,-0.8102,0.0909,1.1578,20.5723,0.9177,0.4713,1.1549,0.9246,0.8095,0.9246,0.2727,0.0028,0.0058,0.0045,0.4833,0.5517,1.3648,-0.0361,0.0732,0.2487,high_score
2025-06-03,600096.SH,云天化,农药化肥,1.1006,0.7500,1.0411,19.7204,0.6976,0.0274,-0.0109,0.4841,0.0079,0.4246,0.0402,0.0009,0.0009,0.0005,0.4857,0.4810,0.8163,-0.0432,-0.0170,0.0684,missed
2020-12-23,600111.SH,北方稀土,小金属,1.2662,0.6818,3.2262,21.2073,0.7239,0.1228,0.3541,0.8492,0.8492,0.8175,0.0973,0.0057,0.0053,0.0036,0.5156,0.5177,2.7573,-0.2216,-0.2696,0.0871,missed
2021-01-18,600111.SH,北方稀土,小金属,0.1192,0.4000,2.0262,21.9938,0.8547,0.4119,0.1681,0.9921,0.9921,0.9921,0.2536,0.0095,0.0080,0.0035,0.5719,0.5656,1.5387,0.0172,-0.2433,0.1818,high_score
